year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
1959,Upper Serangoon,SMC,1,Tan Choon Teng,CP,Citizens' Party,209,2.09,4,lost_deposit
1963,Aljunied,SMC,1,S. V. Lingam,PAP,People's Action Party,7745,50.9,1,won
1963,Aljunied,SMC,1,Thio Kheng Lock,BS,Barisan Sosialis,4624,30.39,2,lost
1963,Aljunied,SMC,1,Lim Koon Teck,SA,Singapore Alliance,1681,11.05,3,lost_deposit
1963,Aljunied,SMC,1,Woo Kong Seng,UPP,United People's Party,1165,7.66,4,lost_deposit
1963,Anson,SMC,1,P. Govindasamy,PAP,People's Action Party,3957,46.91,1,won
1963,Anson,SMC,1,Chan Chong Keen,BS,Barisan Sosialis,3123,37.02,2,lost
1963,Anson,SMC,1,A. K. Isaac,SA,Singapore Alliance,543,6.44,3,lost_deposit
1963,Anson,SMC,1,David Marshall,Independent,,416,4.93,4,lost_deposit
1963,Anson,SMC,1,Vythalingam V.,UPP,United People's Party,306,3.63,5,lost_deposit
1963,Anson,SMC,1,Chiang Seok Keong,WP,Workers' Party,91,1.08,6,lost_deposit
1963,Bras Basah,SMC,1,Ho See Beng,PAP,People's Action Party,4926,51.8,1,won
1963,Bras Basah,SMC,1,Leong Kwan Fai,BS,Barisan Sosialis,3831,40.28,2,lost
1963,Bras Basah,SMC,1,Pan Cheng Luan,UPP,United People's Party,335,3.52,3,lost_deposit
1963,Bras Basah,SMC,1,Wong Chin Sen,SA,Singapore Alliance,304,3.2,4,lost_deposit
1963,Bras Basah,SMC,1,Chua Chin Kiat,WP,Workers' Party,114,1.2,5,lost_deposit
1963,Bukit Merah,SMC,1,Lim Huan Boon,BS,Barisan Sosialis,4963,42.84,1,won
1963,Bukit Merah,SMC,1,Sellappa Ramaswamy,PAP,People's Action Party,4520,39.02,2,lost
1963,Bukit Merah,SMC,1,Poon Weng Ying,UPP,United People's Party,1129,9.75,3,lost_deposit
1963,Bukit Merah,SMC,1,Shums Tung Tao Chang,SA,Singapore Alliance,740,6.39,4,lost_deposit
1963,Bukit Merah,SMC,1,Ngon Eng Kok,Independent,,232,2.0,5,lost_deposit
1963,Bukit Panjang,SMC,1,Ong Lian Teng,BS,Barisan Sosialis,5679,46.45,1,won
1963,Bukit Panjang,SMC,1,Lee Khoon Choy,PAP,People's Action Party,4940,40.41,2,lost
1963,Bukit Panjang,SMC,1,Loo Bah Chit,SA,Singapore Alliance,999,8.17,3,lost_deposit
1963,Bukit Panjang,SMC,1,Thuan Paik Phok,UPP,United People's Party,607,4.97,4,lost_deposit
1963,Bukit Timah,SMC,1,Lee Tee Tong,BS,Barisan Sosialis,6173,52.39,1,won
1963,Bukit Timah,SMC,1,Chor Yeok Eng,PAP,People's Action Party,4982,42.28,2,lost
1963,Bukit Timah,SMC,1,Ong Tiong Kuan,UPP,United People's Party,628,5.33,3,lost_deposit
1963,Cairnhill,SMC,1,Lim Kim San,PAP,People's Action Party,7749,66.46,1,won
1963,Cairnhill,SMC,1,Lim Ang Chuan,BS,Barisan Sosialis,2443,20.95,2,lost
1963,Cairnhill,SMC,1,Lee Ah Seong,SA,Singapore Alliance,1467,12.58,3,lost
1963,Changi,SMC,1,Sim Boon Woo,PAP,People's Action Party,4808,42.78,1,won
1963,Changi,SMC,1,Siek Shing Min,BS,Barisan Sosialis,3425,30.48,2,lost
1963,Changi,SMC,1,Dato Syed Esa,SA,Singapore Alliance,1975,17.57,3,lost
1963,Changi,SMC,1,Abdullah Masood,UPP,United People's Party,935,8.32,4,lost_deposit
1963,Changi,SMC,1,M. N. Yahya,Independent,,95,0.85,5,lost_deposit
1963,Choa Chu Kang,SMC,1,Chio Cheng Thun,BS,Barisan Sosialis,3753,48.6,1,won
1963,Choa Chu Kang,SMC,1,Lim Kim Hian,PAP,People's Action Party,2429,31.45,2,lost
1963,Choa Chu Kang,SMC,1,Sim Chit Giak,UPP,United People's Party,800,10.36,3,lost_deposit
1963,Choa Chu Kang,SMC,1,Neo Guan Choo,SA,Singapore Alliance,396,5.13,4,lost_deposit
1963,Choa Chu Kang,SMC,1,Goh Tong Liang,Independent,,345,4.47,5,lost_deposit
1963,Crawford,SMC,1,T. Bani,BS,Barisan Sosialis,4400,42.76,1,won
1963,Crawford,SMC,1,K. M. Byrne,PAP,People's Action Party,4207,40.88,2,lost
1963,Crawford,SMC,1,Lau Tok Keong,UPP,United People's Party,1032,10.03,3,lost_deposit
1963,Crawford,SMC,1,S. A. Hsieh,SA,Singapore Alliance,571,5.55,4,lost_deposit
1963,Crawford,SMC,1,Wong Hong Toy,WP,Workers' Party,81,0.79,5,lost_deposit
1963,Delta,SMC,1,Chan Choy Siong,PAP,People's Action Party,5417,40.54,1,won
1963,Delta,SMC,1,Wee Toon Lip,BS,Barisan Sosialis,5354,40.07,2,lost
1963,Delta,SMC,1,Chen Chia Kuang,UPP,United People's Party,2233,16.71,3,lost
1963,Delta,SMC,1,Wong Kui Yu,Independent,,359,2.69,4,lost_deposit
1963,Farrer Park,SMC,1,S. Rajoo,PAP,People's Action Party,5365,55.71,1,won
1963,Farrer Park,SMC,1,Lee Chin Siang,BS,Barisan Sosialis,2619,27.2,2,lost
1963,Farrer Park,SMC,1,A. P. Rajah,SA,Singapore Alliance,1232,12.79,3,lost
1963,Farrer Park,SMC,1,Wee Kia Eng,UPP,United People's Party,414,4.3,4,lost_deposit
1963,Geylang East,SMC,1,Ho Cheng Choon,PAP,People's Action Party,7165,47.28,1,won
1963,Geylang East,SMC,1,Phua Soon Lian,BS,Barisan Sosialis,5389,35.56,2,lost
1963,Geylang East,SMC,1,Ng Cheng Chwee,SA,Singapore Alliance,1467,9.68,3,lost_deposit
1963,Geylang East,SMC,1,Tan Peng Seah,UPP,United People's Party,1134,7.48,4,lost_deposit
1963,Geylang Serai,SMC,1,Rahamat b Kenap,PAP,People's Action Party,6722,48.01,1,won
1963,Geylang Serai,SMC,1,Ahmad b. Hj. Taff,SA,Singapore Alliance,5019,35.85,2,lost
1963,Geylang Serai,SMC,1,M. Taha Suhaimi,PMIP,Pan Malayan Islamic Party,1201,8.58,3,lost_deposit
1963,Geylang Serai,SMC,1,Darus Shariff,Independent,,1059,7.56,4,lost_deposit
1963,Geylang West,SMC,1,Yong Nyuk Lin,PAP,People's Action Party,6288,43.63,1,won
1963,Geylang West,SMC,1,Un Hon Kun,BS,Barisan Sosialis,5670,39.34,2,lost
1963,Geylang West,SMC,1,Kum Teng Hock,UPP,United People's Party,1541,10.69,3,lost_deposit
1963,Geylang West,SMC,1,Mohd. B. Hj. Yacob,SA,Singapore Alliance,914,6.34,4,lost_deposit
1963,Havelock,SMC,1,Loh Miaw Gong,BS,Barisan Sosialis,6304,44.05,1,won
1963,Havelock,SMC,1,Wong Chun Choi,PAP,People's Action Party,4157,29.05,2,lost
1963,Havelock,SMC,1,Ng Chee Sen,UPP,United People's Party,3209,22.42,3,lost
1963,Havelock,SMC,1,Lim Ser Puan,SA,Singapore Alliance,641,4.48,4,lost_deposit
1963,Hong Lim,SMC,1,Ong Eng Guan,UPP,United People's Party,5066,44.48,1,won
1963,Hong Lim,SMC,1,Seah Mui Kok,PAP,People's Action Party,3789,33.27,2,lost
1963,Hong Lim,SMC,1,Lim Chien Sen,BS,Barisan Sosialis,2344,20.58,3,lost
1963,Hong Lim,SMC,1,Sam Tai Guan,SA,Singapore Alliance,191,1.68,4,lost_deposit
1963,Jalan Besar,SMC,1,Chan Chee Seng,PAP,People's Action Party,6686,51.87,1,won
1963,Jalan Besar,SMC,1,Ng Ngeong Yew,BS,Barisan Sosialis,5172,40.12,2,lost
1963,Jalan Besar,SMC,1,Yong Wan Kit,UPP,United People's Party,1033,8.01,3,lost_deposit
1963,Jalan Kayu,SMC,1,Tan Cheng Tong,BS,Barisan Sosialis,3312,38.04,1,won
1963,Jalan Kayu,SMC,1,Teo Hup Teck,PAP,People's Action Party,2676,30.73,2,lost
1963,Jalan Kayu,SMC,1,Lui Boon Phor,UPP,United People's Party,1146,13.16,3,lost
1963,Jalan Kayu,SMC,1,M. P. D. Nair,SA,Singapore Alliance,1057,12.14,4,lost_deposit
1963,Jalan Kayu,SMC,1,Ong Yu Thoh,Independent,,516,5.93,5,lost_deposit
1963,Joo Chiat,SMC,1,Dr. Fong Kim Heng,PAP,People's Action Party,9300,65.89,1,won
1963,Joo Chiat,SMC,1,Leong Keng Seng,BS,Barisan Sosialis,3737,26.48,2,lost
1963,Joo Chiat,SMC,1,Mrs Seow Peck Leng,SA,Singapore Alliance,1078,7.64,3,lost_deposit
1963,Jurong,SMC,1,Chia Thye Poh,BS,Barisan Sosialis,3973,55.86,1,won
1963,Jurong,SMC,1,Ong Soo Chuan,PAP,People's Action Party,2268,31.89,2,lost
1963,Jurong,SMC,1,Soh U Loh,UPP,United People's Party,501,7.04,3,lost_deposit
1963,Jurong,SMC,1,Wong Tuck Leong,SA,Singapore Alliance,371,5.22,4,lost_deposit
1963,Kallang,SMC,1,Buang b. Omar Junid,PAP,People's Action Party,8479,52.21,1,won
1963,Kallang,SMC,1,Dr. P. Oorjitham,BS,Barisan Sosialis,5215,32.11,2,lost
1963,Kallang,SMC,1,Mohd. Shariff B. D.,UPP,United People's Party,1166,7.18,3,lost_deposit
1963,Kallang,SMC,1,Tan Hock Lim,SA,Singapore Alliance,969,5.97,4,lost_deposit
1963,Kallang,SMC,1,Tan Hai Tong,Independent,,411,2.53,5,lost_deposit
1963,Kampong Glam,SMC,1,Rajaratnam S.,PAP,People's Action Party,4313,44.79,1,won
1963,Kampong Glam,SMC,1,Tan Jing Quee,BS,Barisan Sosialis,4093,42.5,2,lost
1963,Kampong Glam,SMC,1,Harbans Singh,UPP,United People's Party,1224,12.71,3,lost
1963,Kampong Kapor,SMC,1,M. Awang,PAP,People's Action Party,4554,41.94,1,won
1963,Kampong Kapor,SMC,1,Lim Hock Thiam,BS,Barisan Sosialis,4155,38.27,2,lost
1963,Kampong Kapor,SMC,1,Nalliah Karuppiah,UPP,United People's Party,1143,10.53,3,lost_deposit
1963,Kampong Kapor,SMC,1,Chia Ban Wei,SA,Singapore Alliance,1006,9.27,4,lost_deposit
1963,Kampong Kembangan,SMC,1,Ariff B. Suradi Mohamed,PAP,People's Action Party,7127,48.32,1,won
1963,Kampong Kembangan,SMC,1,Ali Alwi,SA,Singapore Alliance,3692,25.03,2,lost
1963,Kampong Kembangan,SMC,1,Saleha Binte Md. Shah,PRSSD,"Partai Rakyat, Singapore State Division",2674,18.13,3,lost
1963,Kampong Kembangan,SMC,1,Ibrahim B. Jaffar,UPP,United People's Party,914,6.2,4,lost_deposit
1963,Kampong Kembangan,SMC,1,Mohd. Dali B. Muin,PMIP,Pan Malayan Islamic Party,344,2.33,5,lost_deposit
1963,Kreta Ayer,SMC,1,Goh Keng Swee,PAP,People's Action Party,8059,65.47,1,won
1963,Kreta Ayer,SMC,1,Lau Peter,BS,Barisan Sosialis,3646,29.62,2,lost
1963,Kreta Ayer,SMC,1,Loke Wan,UPP,United People's Party,604,4.91,3,lost_deposit
1963,Moulmein,SMC,1,Mrs. Devan Nair,PAP,People's Action Party,5856,58.0,1,won
1963,Moulmein,SMC,1,Tann Wee Tiong,BS,Barisan Sosialis,3051,30.22,2,lost
1963,Moulmein,SMC,1,Neo Hay Chan,UPP,United People's Party,575,5.69,3,lost_deposit
1963,Moulmein,SMC,1,Koh Chiat Lim,SA,Singapore Alliance,542,5.37,4,lost_deposit
1963,Moulmein,SMC,1,Soo Tho Siu Hee,Independent,,73,0.72,5,lost_deposit
1963,Mountbatten,SMC,1,Ng Yeow Chong,PAP,People's Action Party,7751,48.97,1,won
1963,Mountbatten,SMC,1,Fung Yin Ching,BS,Barisan Sosialis,5158,32.59,2,lost
1963,Mountbatten,SMC,1,Lee Kim Chuan,SA,Singapore Alliance,1865,11.78,3,lost_deposit
1963,Mountbatten,SMC,1,Mrs. Leon-Soh,Independent,,1053,6.65,4,lost_deposit
1963,Nee Soon,SMC,1,Chan Sun Wing,BS,Barisan Sosialis,4914,51.33,1,won
1963,Nee Soon,SMC,1,How Kang Yong,PAP,People's Action Party,3329,34.77,2,lost
1963,Nee Soon,SMC,1,Goh Soo Ming,UPP,United People's Party,864,9.02,3,lost_deposit
1963,Nee Soon,SMC,1,Yeo Teo Bok,SA,Singapore Alliance,364,3.8,4,lost_deposit
1963,Nee Soon,SMC,1,Lim Siak Guan,Independent,,103,1.08,5,lost_deposit
1963,Pasir Panjang,SMC,1,Othman b. Wok,PAP,People's Action Party,2879,45.3,1,won
1963,Pasir Panjang,SMC,1,Tay Cheng Kang,BS,Barisan Sosialis,1887,29.69,2,lost
1963,Pasir Panjang,SMC,1,Ahmad b.Rahmat,SA,Singapore Alliance,1351,21.26,3,lost
1963,Pasir Panjang,SMC,1,Yong Ah Kau,UPP,United People's Party,238,3.75,4,lost_deposit
1963,Paya Lebar,SMC,1,Kow Kee Seng,BS,Barisan Sosialis,6152,47.96,1,won
1963,Paya Lebar,SMC,1,Tan Kia Gan,PAP,People's Action Party,5402,42.11,2,lost
1963,Paya Lebar,SMC,1,Yeo Keng Wee,UPP,United People's Party,858,6.69,3,lost_deposit
1963,Paya Lebar,SMC,1,Goh Yeow Dek,SA,Singapore Alliance,415,3.24,4,lost_deposit
1963,Punggol,SMC,1,Ng Kah Ting,PAP,People's Action Party,4721,47.76,1,won
1963,Punggol,SMC,1,Koh Chit Kiang,BS,Barisan Sosialis,2860,28.93,2,lost
1963,Punggol,SMC,1,Tan Jin Hong,SA,Singapore Alliance,1320,13.35,3,lost
1963,Punggol,SMC,1,Lee Jiak Seck,UPP,United People's Party,984,9.95,4,lost_deposit
1963,Queenstown,SMC,1,Jek Yuen Thong,PAP,People's Action Party,8165,52.81,1,won
1963,Queenstown,SMC,1,Lee Ek Chong,BS,Barisan Sosialis,5589,36.15,2,lost
1963,Queenstown,SMC,1,Ng Ho,UPP,United People's Party,909,5.88,3,lost_deposit
1963,Queenstown,SMC,1,Lee Khee Loong,SA,Singapore Alliance,798,5.16,4,lost_deposit
1963,River Valley,SMC,1,Lim Cheng Lock,PAP,People's Action Party,5597,56.67,1,won
1963,River Valley,SMC,1,Goh Lam San,BS,Barisan Sosialis,2668,27.01,2,lost
1963,River Valley,SMC,1,Yap Pheng Geck,SA,Singapore Alliance,1156,11.71,3,lost_deposit
1963,River Valley,SMC,1,Chung Kit Wong,UPP,United People's Party,455,4.61,4,lost_deposit
1963,Rochore,SMC,1,Toh Chin Chye,PAP,People's Action Party,5015,45.56,1,won
1963,Rochore,SMC,1,Lee Siew Choh,BS,Barisan Sosialis,4926,44.75,2,lost
1963,Rochore,SMC,1,Pan Tiek Tai,UPP,United People's Party,1067,9.69,3,lost_deposit
1963,Sembawang,SMC,1,Teong Eng Siong,PAP,People's Action Party,3745,42.17,1,won
1963,Sembawang,SMC,1,Chen Poh Chang,BS,Barisan Sosialis,3591,40.43,2,lost
1963,Sembawang,SMC,1,Appavoo P.,SA,Singapore Alliance,1197,13.48,3,lost
1963,Sembawang,SMC,1,Low Seng Wan,UPP,United People's Party,348,3.92,4,lost_deposit
1963,Sepoy Lines,SMC,1,Wee Toon Boon,PAP,People's Action Party,4907,52.25,1,won
1963,Sepoy Lines,SMC,1,Ong Chang Sam,BS,Barisan Sosialis,3147,33.51,2,lost
1963,Sepoy Lines,SMC,1,Goh Su Chiang,SA,Singapore Alliance,793,8.44,3,lost_deposit
1963,Sepoy Lines,SMC,1,Tan Choon Sing,UPP,United People's Party,545,5.8,4,lost_deposit
1963,Serangoon Gardens,SMC,1,R. A. Gonzales,PAP,People's Action Party,4456,53.4,1,won
1963,Serangoon Gardens,SMC,1,Ng Hui Sim,BS,Barisan Sosialis,2698,32.33,2,lost
1963,Serangoon Gardens,SMC,1,Ng Teo Joo,UPP,United People's Party,736,8.82,3,lost_deposit
1963,Serangoon Gardens,SMC,1,Choy Kok Wah,SA,Singapore Alliance,455,5.45,4,lost_deposit
1963,Siglap,SMC,1,A. Rahim Ishak,PAP,People's Action Party,9342,62.12,1,won
1963,Siglap,SMC,1,Tay Check Yaw,PRSSD,"Partai Rakyat, Singapore State Division",2618,17.41,2,lost
1963,Siglap,SMC,1,Soo Ban Hoe,SA,Singapore Alliance,1488,9.89,3,lost_deposit
1963,Siglap,SMC,1,Ong Jin Teck,UPP,United People's Party,1365,9.08,4,lost_deposit
1963,Siglap,SMC,1,Koh Tee Kin,Independent,,225,1.5,5,lost_deposit
1963,Southern Islands,SMC,1,Yaacob bin Mohamed,PAP,People's Action Party,2764,55.41,1,won
1963,Southern Islands,SMC,1,Ahmad Jabri b. Akib,SA,Singapore Alliance,2224,44.59,2,lost
1963,Stamford,SMC,1,Fong Sip Chee,PAP,People's Action Party,5781,53.27,1,won
1963,Stamford,SMC,1,Teo Hock Guan,BS,Barisan Sosialis,3719,34.27,2,lost
1963,Stamford,SMC,1,Lim Chung Min,UPP,United People's Party,771,7.1,3,lost_deposit
1963,Stamford,SMC,1,Lal Behari Singh,SA,Singapore Alliance,582,5.36,4,lost_deposit
1963,Tampines,SMC,1,Poh Ber Liak,BS,Barisan Sosialis,5976,48.34,1,won
1963,Tampines,SMC,1,Goh Chew Chua,PAP,People's Action Party,3601,29.13,2,lost
1963,Tampines,SMC,1,Liam Tian Seng,UPP,United People's Party,2130,17.23,3,lost
1963,Tampines,SMC,1,Lim Jew Kan,SA,Singapore Alliance,656,5.31,4,lost_deposit
1963,Tanglin,SMC,1,E. W. Barker,PAP,People's Action Party,4424,51.08,1,won
1963,Tanglin,SMC,1,Tan Cheow Hock,BS,Barisan Sosialis,1997,23.06,2,lost
1963,Tanglin,SMC,1,Thio Chan Bee,SA,Singapore Alliance,1738,20.07,3,lost
1963,Tanglin,SMC,1,Eng Chau Sam,UPP,United People's Party,336,3.88,4,lost_deposit
1963,Tanglin,SMC,1,Ariffin b. Md Said,Independent,,166,1.92,5,lost_deposit
1963,Tanjong Pagar,SMC,1,Lee Kuan Yew,PAP,People's Action Party,6317,58.93,1,won
1963,Tanjong Pagar,SMC,1,Ong Hock Siang,BS,Barisan Sosialis,3537,32.99,2,lost
1963,Tanjong Pagar,SMC,1,Lim Peng Kang,UPP,United People's Party,473,4.41,3,lost_deposit
1963,Tanjong Pagar,SMC,1,Chng Boon Eng,SA,Singapore Alliance,393,3.67,4,lost_deposit
1963,Telok Ayer,SMC,1,Ong Pang Boon,PAP,People's Action Party,5390,44.01,1,won
1963,Telok Ayer,SMC,1,Lam Chit Lee,BS,Barisan Sosialis,4987,40.72,2,lost
1963,Telok Ayer,SMC,1,Goh Hong Keng,UPP,United People's Party,1484,12.12,3,lost_deposit
1963,Telok Ayer,SMC,1,Wang Chung Kwang,Independent,,385,3.14,4,lost_deposit
1963,Telok Blangah,SMC,1,Bernard Rodrigues,PAP,People's Action Party,4949,39.82,1,won
1963,Telok Blangah,SMC,1,Jukri b. Parjo,BS,Barisan Sosialis,4327,34.82,2,lost
1963,Telok Blangah,SMC,1,Abdul Rahman,SA,Singapore Alliance,2627,21.14,3,lost
1963,Telok Blangah,SMC,1,Tan Swee Huat,UPP,United People's Party,525,4.22,4,lost_deposit
1963,Thomson,SMC,1,Koo Young,BS,Barisan Sosialis,5292,49.17,1,won
1963,Thomson,SMC,1,Leo Keng Fong,PAP,People's Action Party,4248,39.47,2,lost
1963,Thomson,SMC,1,Loo Ka Thiam,UPP,United People's Party,1223,11.36,3,lost_deposit
1963,Tiong Bahru,SMC,1,Lee Teck Him,PAP,People's Action Party,5731,48.15,1,won
1963,Tiong Bahru,SMC,1,Soon Dit Woo,BS,Barisan Sosialis,3798,31.91,2,lost
1963,Tiong Bahru,SMC,1,Ng Teng Kian,UPP,United People's Party,1088,9.14,3,lost_deposit
1963,Tiong Bahru,SMC,1,William Tan,Independent,,777,6.53,4,lost_deposit
1963,Tiong Bahru,SMC,1,Tan Kok Siong,SA,Singapore Alliance,508,4.27,5,lost_deposit
1963,Toa Payoh,SMC,1,Wong Soon Fong,BS,Barisan Sosialis,6083,48.2,1,won
1963,Toa Payoh,SMC,1,Yip Sai Weng,PAP,People's Action Party,4276,33.88,2,lost
1963,Toa Payoh,SMC,1,Goh Nee Kim,UPP,United People's Party,1501,11.89,3,lost_deposit
1963,Toa Payoh,SMC,1,Tan Chor Yong,UDP,,760,6.02,4,lost_deposit
1963,Ulu Pandan,SMC,1,Chow Chiok Hock,PAP,People's Action Party,5000,44.86,1,won
1963,Ulu Pandan,SMC,1,Johari bin Sonto,PRSSD,"Partai Rakyat, Singapore State Division",2967,26.62,2,lost
1963,Ulu Pandan,SMC,1,Anang b. H. A. Manan,SA,Singapore Alliance,1729,15.51,3,lost
1963,Ulu Pandan,SMC,1,Ler Chin Tee,UPP,United People's Party,1450,13.01,4,lost
1963,Upper Serangoon,SMC,1,Sia Kah Hui,PAP,People's Action Party,6650,56.56,1,won
1963,Upper Serangoon,SMC,1,Chia Yang Loong,BS,Barisan Sosialis,3547,30.17,2,lost
1963,Upper Serangoon,SMC,1,Phua Gek Boon,UPP,United People's Party,595,5.06,3,lost_deposit
1963,Upper Serangoon,SMC,1,Lim Choon Mong,Independent,,573,4.87,4,lost_deposit
1963,Upper Serangoon,SMC,1,Wu Moh Chye,SA,Singapore Alliance,393,3.34,5,lost_deposit
1968,Alexandra,SMC,1,Wong Lin Ken,PAP,People's Action Party,0,,1,won_uncontested
1968,Aljunied,SMC,1,Mohd. Ghazali Bin Ismail,PAP,People's Action Party,0,,1,won_uncontested
1968,Anson,SMC,1,Govindaswamy Perumal,PAP,People's Action Party,0,,1,won_uncontested
1968,Bras Basah,SMC,1,Ho See Beng,PAP,People's Action Party,0,,1,won_uncontested
1968,Bukit Ho Swee,SMC,1,Seah Mui Kok,PAP,People's Action Party,0,,1,won_uncontested
1968,Bukit Merah,SMC,1,Lim Guan Hoo,PAP,People's Action Party,0,,1,won_uncontested
1968,Bukit Panjang,SMC,1,Selvadurai Pathmanaban,PAP,People's Action Party,0,,1,won_uncontested
1968,Bukit Timah,SMC,1,Chor Yeok Eng,PAP,People's Action Party,0,,1,won_uncontested
1968,Cairnhill,SMC,1,Lim Kim San,PAP,People's Action Party,0,,1,won_uncontested
1968,Changi,SMC,1,Sim Boon Woo,PAP,People's Action Party,0,,1,won_uncontested
1968,Chua Chu Kang,SMC,1,Tang See Chim,PAP,People's Action Party,0,,1,won_uncontested
1968,Crawford,SMC,1,Low Yong Nguan,PAP,People's Action Party,0,,1,won_uncontested
1968,Delta,SMC,1,Chan Choy Siong,PAP,People's Action Party,0,,1,won_uncontested
1968,Farrer Park,SMC,1,Lee Chiaw Meng,PAP,People's Action Party,7826,84.91,1,won
1968,Farrer Park,SMC,1,M. P. D. Nair,Independent,,1391,15.09,2,lost
1968,Geylang East,SMC,1,Ho Cheng Choon,PAP,People's Action Party,0,,1,won_uncontested
1968,Geylang Serai,SMC,1,Rahamat b Kenap,PAP,People's Action Party,9363,83.01,1,won
1968,Geylang Serai,SMC,1,Darus Shariff,Independent,,1916,16.99,2,lost
1968,Geylang West,SMC,1,Yong Nyuk Lin,PAP,People's Action Party,0,,1,won_uncontested
1968,Havelock,SMC,1,Lim Soo Peng,PAP,People's Action Party,0,,1,won_uncontested
1968,Hong Lim,SMC,1,Lee Khoon Choy,PAP,People's Action Party,0,,1,won_uncontested
1968,Jalan Besar,SMC,1,Chan Chee Seng,PAP,People's Action Party,0,,1,won_uncontested
1968,Jalan Kayu,SMC,1,Hwang Soo Jin,PAP,People's Action Party,9581,82.3,1,won
1968,Jalan Kayu,SMC,1,Sum Chong Meng,WP,Workers' Party,2060,17.7,2,lost
1968,Joo Chiat,SMC,1,Yeoh Ghim Seng,PAP,People's Action Party,0,,1,won_uncontested
1968,Jurong,SMC,1,Ho Kah Leong,PAP,People's Action Party,0,,1,won_uncontested
1968,Kallang,SMC,1,Abdul Aziz Karim,PAP,People's Action Party,0,,1,won_uncontested
1968,Kampong Chai Chee,SMC,1,Sha'ari Bin Tadin,PAP,People's Action Party,0,,1,won_uncontested
1968,Kampong Glam,SMC,1,Rajaratnam Sinnathamby,PAP,People's Action Party,0,,1,won_uncontested
1968,Kampong Kapor,SMC,1,Lim Cheng Lock,PAP,People's Action Party,0,,1,won_uncontested
1968,Kampong Kembangan,SMC,1,Mohd. Ariff Bin Suradi,PAP,People's Action Party,0,,1,won_uncontested
1968,Kampong Ubi,SMC,1,Yaacob bin Mohamed,PAP,People's Action Party,9797,81.87,1,won
1968,Kampong Ubi,SMC,1,Tay Mook Yong,Independent,,2169,18.13,2,lost
1968,Katong,SMC,1,De Conceicao J. Francis,PAP,People's Action Party,0,,1,won_uncontested
1968,Kreta Ayer,SMC,1,Goh Keng Swee,PAP,People's Action Party,0,,1,won_uncontested
1968,MacPherson,SMC,1,Chua Sian Chin,PAP,People's Action Party,0,,1,won_uncontested
1968,Moulmein,SMC,1,Chia Seong,PAP,People's Action Party,9675,90.56,1,won
1968,Moulmein,SMC,1,T. T. Joseph,Independent,,1009,9.44,2,lost_deposit
1968,Mountbatten,SMC,1,Ng Yeow Chong,PAP,People's Action Party,0,,1,won_uncontested
1968,Nee Soon,SMC,1,Ong Soo Chuan,PAP,People's Action Party,10442,91.35,1,won
1968,Nee Soon,SMC,1,Wong Hong Toy,WP,Workers' Party,989,8.65,2,lost_deposit
1968,Pasir Panjang,SMC,1,Othman Bin Wok,PAP,People's Action Party,0,,1,won_uncontested
1968,Paya Lebar,SMC,1,Tay Boon Too,PAP,People's Action Party,0,,1,won_uncontested
1968,Potong Pasir,SMC,1,Sellappa Ramaswamy,PAP,People's Action Party,0,,1,won_uncontested
1968,Punggol,SMC,1,Ng Kah Ting,PAP,People's Action Party,0,,1,won_uncontested
1968,Queenstown,SMC,1,Jek Yeun Thong,PAP,People's Action Party,0,,1,won_uncontested
1968,River Valley,SMC,1,Low Guan Onn,PAP,People's Action Party,0,,1,won_uncontested
1968,Rochore,SMC,1,Toh Chin Chye,PAP,People's Action Party,0,,1,won_uncontested
1968,Sembawang,SMC,1,Teong Eng Siong,PAP,People's Action Party,0,,1,won_uncontested
1968,Sepoy Lines,SMC,1,Wee Toon Boon,PAP,People's Action Party,0,,1,won_uncontested
1968,Serangoon Gardens,SMC,1,"Rodrigo, Leonard Peter",PAP,People's Action Party,0,,1,won_uncontested
1968,Siglap,SMC,1,Abdul Rahim Bin Ishak,PAP,People's Action Party,0,,1,won_uncontested
1968,Stamford,SMC,1,"Fong Sip Chee, Andrew",PAP,People's Action Party,0,,1,won_uncontested
1968,Tampines,SMC,1,Phua Bah Lee,PAP,People's Action Party,0,,1,won_uncontested
1968,Tanglin,SMC,1,"Barker, Edmund William",PAP,People's Action Party,0,,1,won_uncontested
1968,Tanjong Pagar,SMC,1,Lee Kuan Yew,PAP,People's Action Party,9128,94.34,1,won
1968,Tanjong Pagar,SMC,1,R. Vetrivelu,Independent,,548,5.66,2,lost_deposit
1968,Telok Ayer,SMC,1,Ong Pang Boon,PAP,People's Action Party,0,,1,won_uncontested
1968,Telok Blangah,SMC,1,Govindasamy s/o N. Naidu,PAP,People's Action Party,0,,1,won_uncontested
1968,Thomson,SMC,1,Ang Nam Piau,PAP,People's Action Party,0,,1,won_uncontested
1968,Tiong Bahru,SMC,1,Ch'ng Jit Koon,PAP,People's Action Party,0,,1,won_uncontested
1968,Toa Payoh,SMC,1,"Cheong Yuen Chee, Eric",PAP,People's Action Party,0,,1,won_uncontested
1968,Ulu Pandan,SMC,1,Lee Teck Him,PAP,People's Action Party,0,,1,won_uncontested
1968,Upper Serangoon,SMC,1,Sia Kah Hui,PAP,People's Action Party,0,,1,won_uncontested
1968,Whampoa,SMC,1,Buang Bin Omar Junid,PAP,People's Action Party,0,,1,won_uncontested
